message,source
"Mainly because of these disruptions to services,
the incidence of malaria increased in year two thousand and twenty.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In addition, progress has been made difficult by
new threats in Africa, such as the emergence of artemisinin partial resistance; spread of
parasites that go undetected by the most widely used rapid diagnostic tests due to P.
falciparum histidine-rich protein
2 and 3 (Pfhrp2/3) gene deletions; vector resistance to insecticides; and reports from an
increasing number of African countries of invasion by Anopheles stephensi, an urban malaria
vector originally confined to Asia.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Despite these threats, the funding gap between the amount
invested and the resources needed has widened dramatically in recent years, increasing from two billion, three million
dollars in year two thousand and eighteen to two billion, six hundred million dollars in year two thousand and nineteen and three billion, five hundred million dollars in year two thousand and twenty.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The
emergence and spread of antimalarial drug resistance will most likely further increase the need
for funding, as it may force countries to switch to newer and more expensive products.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Artemisinin-based Combination Therapies at the heart of the response
There has been widespread antimalarial drug resistance in Africa in the past.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In year two thousand and one,
World Health Organization recommended the use of Artemisinin-based Combination Therapies in countries where P. falciparum malaria was
resistant to previously efficacious treatments, such as chloroquine, sulfadoxine-
pyrimethamine and, to a lesser extent, amodiaquine.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
An Artemisinin-based Combination Therapy consists of a combination of an artemisinin derivative and a partner drug.,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Artemisinin-based Combination Therapies
are recommended for the treatment of uncomplicated P. falciparum malaria.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The role
of the artemisinin derivative is to rapidly reduce the parasite biomass, while the role of
the partner drug is to eliminate the remaining parasites after artemisinin has been
cleared from the blood.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Even if used as a monotherapy, in the absence of resistance, a full
dose of any partner drug included in the six World Health Organization-recommended Artemisinin-based Combination Therapies - artemether-
lumefantrine, artesunate-amodiaquine, dihydroartemisinin-piperaquine, artesunate-
mefloquine, artesunate+sulfadoxine-pyrimethamine and artesunate-pyronaridine - can
clear parasitaemia and cure patients.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Due to the very short half-life of the artemisinin
derivative, the partner drug Artemisinin-based Combination Therapies as a monotherapy starting shortly after the
administration of the last dose of Artemisinin-based Combination Therapy.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Consequently, Artemisinin-based Combination Therapies differ from most other
combination therapies, in that they include drugs with very different pharmacokinetics;
accordingly, they could be characterized as artemisinin- boosted antimalarials.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"While World Health Organization currently recommends six Artemisinin-based Combination Therapies, the majority of patients are treated with
either artemether-lumefantrine or artesunate-amodiaquine.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Artemether-lumefantrine is
the most widely used treatment course, representing over eighty five percent of Artemisinin-based Combination Therapies procured
by the Global Fund to Fight AIDS, Tuberculosis and Malaria, followed by
artesunate-amodiaquine representing ten percent.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
Several factors explain this pre-eminence.,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Artemether-lumefantrine was the first Artemisinin-based Combination Therapy to be developed, and it is the first-line therapy in most African countries.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Artemether-lumefantrine and artesunate-
amodiaquine are the most affordable options,
at zero point six dollar and zero point seven eight dollar per adult treatment course, respectively, versus two to three dollar for
other Artemisinin-based Combination Therapies.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Artemether-lumefantrine is also the most accessible Artemisinin-based Combination Therapy, with prequalified
artemether-lumefantrine being produced by nine suppliers with significant production
capacity.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Defining and monitoring resistance
There are two main working definitions of resistance:
- Antimalarial drug resistance is defined as the ability of a parasite strain to survive and/
or multiply despite the administration and absorption of a drug given in doses equal to
or higher than those usually recommended, but within tolerance of the subject.
- Artemisinin partial resistance can be defined as delayed clearance after treatment with a
drug containing an artemisinin derivative of a parasite strain carrying a particular
mutation or set of mutations that are validated as associated with this delayed
clearance, despite the administration and absorption of the drug given in doses equal
to or higher than those usually recommended, but within tolerance of the subject.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Significant reduction of treatment efficacy has not been observed in association with
changes in P. falciparum sensitivity to artemisinin derivatives.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"So far, artemisinin partial
resistance appears to only affect the P. falciparum ring stage, leading to delayed clearance
of parasitaemia.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Consequently, after three days of treatment, a larger biomass remains,
which must be eliminated by the partner drug.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"This delayed clearance has been found to
be associated with P. falciparum Kelch13 mutations.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"However, even in areas
of high prevalence of Plasmodium falciparum Kelch13 mutations, a seven-day artesunate treatment has shown
over 90 percent efficacy, suggesting that delayed clearance does not meet the standard
definition of antimalarial drug resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The observed delayed clearance is, therefore,
termed
artemisinin partial resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"There is no evidence that changes in sensitivity
to artemisinin derivatives affect any asexual stage other than the ring stage and no
evidence of artemisinin full resistance, i.e. leading to treatment failure following a full
dose of artesunate.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"There are indications that Plasmodium falciparum Kelch13 mutations could facilitate the spread of artemisinin
partial resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In the Greater Mekong subregion, some strains carrying
Plasmodium falciparum Kelch13 mutations associated with partial resistance appear to have an increased
capability to generate gametocyte carriage.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"This has not been confirmed in Africa;
however, the increases in the proportion of parasites carrying Plasmodium falciparum Kelch13 mutations now
observed in some countries in Africa indicate that parasites with this mutation have an
advantage under current treatment strategies and transmission dynamics; this could be due
to higher transmissibility or improved fitness.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In areas with artemisinin partial resistance, delayed clearance after treatment with an Artemisinin-based Combination Therapy
does not necessarily lead to an increase in treatment failure rates in the absence of partner
drug resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"However, partner drug resistance can cause treatment failure.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In the Greater Mekong sub-region,
Artemisinin-based Combination Therapies have remained efficacious despite the presence of artemisinin partial resistance,
provided that there is no resistance to partner drugs.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Artemisinin partial resistance puts
partner drugs at greater risk by exposing an increased number of parasites to the partner
drug alone.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"As such artemisinin partial resistance likely played a role in the rapid spread of
resistance to the Artemisinin-based Combination Therapy partner drug piperaquine across countries in the Greater Mekong sub-region.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Although not
confirmed to date, there is also a concern over the potential loss of efficacy of artesunate
monotherapy for severe malaria cases in the presence of artemisinin partial resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Therapeutic efficacy studies remain the gold
standard for determining antimalarial drug efficacy.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"These studies are prospective
evaluations of patients' clinical and parasitological responses to treatment for
uncomplicated malaria.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Therapeutic Efficacy Studys are conducted with a diagnosis validated by microscopy,
using a quality-assured treatment and supervised drug administration.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Despite their
limitations, these studies provide decision- makers with an indication of the efficacy of
drugs for treating malaria.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"To be comparable across countries and over time, it is crucial to
use standardized protocols.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Therapeutic Efficacy Studys alone are not sufficient to confirm drug resistance; this
must be confirmed through other means:
- Molecular marker analyses (genotypes) identify genetic changes in the parasite genome
that are associated with a change in parasite susceptibility to antimalarial drugs.
- Ex vivo and in vitro assays (phenotypes) test the sensitivity of fresh or culture-adapted
parasites to antimalarial drugs by exposing them to different concentrations of a
drug (typically for forty two hours) or to a pulse of a high concentration of a drug (in
ring-stage survival assay) and observing the effect on parasite survival.
- Measurements of drug levels in the blood allow monitoring of the concentration of drug
that malaria parasites are exposed to and can help to distinguish whether a treatment
failure is due to insufficient antimalarial drug exposure or due to resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The threat of antimalarial drug resistance in Africa
Antimalarial drug resistance in Africa: Artemisinin partial resistance in Africa
Evidence of the selection and spread of parasites with partial resistance to
artemisinin derivatives has been documented in the following areas of Africa;
- Rwanda: Two studies conducted by the national malaria programme
between year two thousand and thirteen and year two thousand and fifteen reported a clonal expansion of the Plasmodium falciparum Kelch13 R561H mutation,
and Ring-stage Survival Assay confirmed that this mutation conferred reduced susceptibility to
dihydroartemisinin.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"However, no evidence of treatment failure rates above ten percent
for artemether-lumefantrine or dihydroartemisinin-piperaquine was reported.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In a
third study conducted in year two thousand and eighteen with the support of the United States Centers for
Disease Control and Prevention, expansion of the Plasmodium falciparum Kelch13 R561H mutation was
confirmed.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"This mutation was associated with delayed clearance; nonetheless,
artemether-lumefantrine displayed continued excellent efficacy.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Similarly, a fourth study reported a higher prevalence of the Plasmodium falciparum Kelch13 R561H mutation (twenty two percent) that was also associated with delayed clearance, but with conserved artemether- lumefantrine efficacy (greater than ninety four percent).",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"This suggests that the partner drugs and Artemisinin-based Combination Therapy
regimens were still effective in Rwanda at the time of the evaluations.
- Uganda: Surveys reported an elevated prevalence of the Plasmodium falciparum Kelch13 C469Y and A675V
mutations in multiple districts in northern Uganda.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"More recently, isolates with
C469Y and A675V mutations were associated with clinical delayed clearance in
patients who were administered intravenous artesunate followed by artemether-
lumefantrine.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The A675V mutation was also associated with in vitro Ring-stage Survival Assay reduced
susceptibility.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Unpublished evidence also shows in vitro reduced susceptibility for
C469Y.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"However, Artemisinin-based Combination Therapies remained effective in Uganda at the time of the surveys.
- Horn of Africa: The R622I mutation has been reported in several countries in the Horn
of Africa, but correlation with delayed parasite clearance has so far only been
assessed in Eritrea, where this mutation was shown to induce reduced susceptibility
to artemisinin using Ring-stage Survival Assay in year two thousand and nineteen (Eritrea National Malaria Programme , unpublished data).",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Data are lacking from several countries and areas, meaning that artemisinin partial resistance
may be present in other areas.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Resistance to Artemisinin-based Combination Therapy partner drugs in Africa
Resistance to currently used Artemisinin-based Combination Therapy partner drugs has not been confirmed despite some worrying
signals.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Significant levels of resistance to an Artemisinin-based Combination Therapy partner drug in the presence of
artemisinin partial resistance would result in low efficacy of the Artemisinin-based Combination Therapy.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Published and
unpublished data compiled in the World Health Organization database allow for a deep analysis of the efficacy
of the main Artemisinin-based Combination Therapies.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Results from some studies should be interpreted with caution, as deviations from World Health Organization
standard protocols can lead to underestimation or sometimes overestimation of the efficacy
of some Artemisinin-based Combination Therapies.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The conclusions of an analysis of more than four hundred studies conducted between
year two thousand and nine and year two thousand and nineteen are described in the following paragraphs:
- Artemether-lumefantrine: Treatment failure rates greater than ten percent after
treatment with artemether-lumefantrine were reported in several countries in
Africa between year two thousand and nine and year two thousand and nineteen.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Recently, high (i.e. over ten percent) treatment
failure rates were reported at some sites in Angola, Burkina Faso, the Democratic
Republic of the Congo
and Uganda.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
Concerns were raised about the quality of microscopy in Burkina Faso.,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Analysis
using a Bayesian algorithm (as for the studies in Angola, the Democratic Republic of the Congo
and Uganda) is not recommended by World Health Organization for reporting treatment outcomes and can, in high
transmission settings, yield higher
treatment failure rates than the year two thousand and eight World Health Organization standard polymerase chain reaction
genotyping methodology (updated in year two thousand and twenty one) to distinguish between reinfection and
recrudescence after treatment.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"High failure rates were simultaneously reported for artemether-
lumefantrine and dihydroartemisinin-piperaquine in Burkina Faso, the Democratic
Republic of the Congo and Uganda.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Lumefantrine and piperaquine cross- resistance is
biologically improbable, putting these results into question.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"If there is a signal of
treatment failure for more than one Artemisinin-based Combination Therapy with no biological explanation of the associated
results, there should be close examination to check whether methodological issues
potentially confounded the results.
- Artesunate-amodiaquine: Treatment failure rates close to ten percent after treatment
with artesunate-amodiaquine have been identified in two studies conducted in
Liberia in year two thousand and seventeen-year two thousand and eighteen.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
Additional studies have been initiated to gather further data.,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Overall, surveillance of artesunate-amodiaquine efficacy and amodiaquine resistance
has been neglected since World Health Organization first recommended Artemisinin-based Combination Therapies in year two thousand and one and artesunate-
amodiaquine was introduced.
- Dihydroartemisinin-piperaquine: Except for the studies in Burkina Faso
and the Democratic Republic of the Congo, where treatment failures with
dihydroartemisinin-piperaquine were systematically associated with treatment
failures with artemether-lumefantrine (see above), high treatment failure rates after
treatment with dihydroartemisinin-piperaquine have not been reported in any
other African countries (noting that dihydroartemisinin-piperaquine is not widely
used in Africa), and resistance to piperaquine has not been confirmed in Africa.
- Other Artemisinin-based Combination Therapy partner drugs: Very few treatment failures have been reported after
treatment with artesunate-pyronaridine or artesunate-mefloquine in Africa,
although there has been minimal drug pressure to date.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Resistance to sulfadoxine-
pyrimethamine is widespread in Africa.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Therefore, the use of artesunate+sulfadoxine-
pyrimethamine is not recommended for the treatment of uncomplicated malaria in
Africa.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Sulfadoxine- pyrimethamine, however, is used for chemoprevention, either
alone or in combination with amodiaquine.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"There are contradictory findings that require further assessment regarding treatment failures
with artemether-lumefantrine, the most commonly used Artemisinin-based Combination Therapy in Africa:
- Some Therapeutic Efficacy Studys have highlighted signals of high treatment failure rates, as mentioned
above; however, sometimes studies deviated from World Health Organization protocols.
- During a Therapeutic Efficacy Study, many confounders may potentially obscure measures of artemether-
lumefantrine treatment failure: poor drug absorption, non-adherence (as the second
daily dose is often unsupervised), and the short half-life of lumefantrine leading to
high reinfection rates, with some reinfections potentially misclassified as recrudescence
during laboratory analysis.
- There have been reports of artemether-lumefantrine treatment failures in travellers
returning from Africa to Portugal, Sweden and the United Kingdom of Great Britain
and Northern Ireland.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"However, information on lumefantrine blood levels was often
unavailable, and anecdotal failures in non-immune individuals do not prove the
existence of drug resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In addition, artemether-lumefantrine treatment failures
in travellers were successfully cured with a second treatment of artemether-
lumefantrine in Sri Lanka.
- A few reports have shown higher in vitro fifty percent inhibitory concentrations (i.e.
mean drug concentration that inhibits fifty percent of the parasite growth) for
lumefantrine; however, the in vitro lumefantrine resistance threshold has not been
defined and trends are difficult to analyse, in part due to limitations in the
standardization of the in vitro lumefantrine test.
- High treatment failure rates with artemether-lumefantrine have not been reported in
Lao People's Democratic Republic or Myanmar, where artemether-lumefantrine is
the first- line therapy, despite high prevalence of artemisinin partial resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The need for an African-wide strategy
Given the heavy reliance on Artemisinin-based Combination Therapies in Africa, the threat of artemisinin partial resistance and
partner drug resistance must be monitored and addressed urgently.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
There is an urgent need to preserve the therapeutic lifespan of Artemisinin-based Combination Therapies.,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Given the current drug
pipeline outlook, it is unlikely that drugs with a different mechanism of action will become
available soon, with the most promising non-artemisinin-based combination, ganaplacide-
lumefantrine, in the patient exploratory phase.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Although such a formulation
would address a situation of artemisinin partial or full resistance, its reliance on lumefantrine
poses a risk should resistance to that partner drug be confirmed.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Artemisinin-based Combination Therapy treatment failure due to resistance is likely to result in an increased number of cases,
leading to additional severe cases and ultimately excess deaths.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"A study by researchers at
Imperial College London published in year two thousand and sixteen provided preliminary estimates for Africa,
showing that a scenario with widespread artemisinin partial resistance (fifty four percent of
infected individuals experiencing delayed parasite clearance) and high partner drug
resistance (forty five percent of treated individuals recrudescing) could result in an additional sixteen
million cases per year in Africa - a seven percent increase in cases compared to a scenario with
no resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Under the same scenario, the additional severe cases derived from the
increased transmission were estimated at around three hundred and sixty five thousand per year.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Ultimately, assuming
that a portion of these additional cases would lead to additional deaths, this scenario could
result in an additional eighty thousand deaths per year, assuming that around twenty percent of
hospitalized severe cases lead to death
Although such a scenario is hypothetical and there are many limitations to the model used,
this could lead to an economic impact of one billion, eleven million dollars in additional costs per year across Africa.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"This figure includes the direct health costs that would be borne by individuals and
health service providers (e.g. additional diagnostic tests and treatments, additional cost for
inpatient care due to excess severe malaria cases, incremental cost of a new commodity
following the introduction of a new first-line treatment) and lost productivity (e.g.
absenteeism in the workplace due to disease burden or the need to care for a sick child, lost
productivity due to premature death).",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"At the same time, these are conservative estimates,
since they do not account for the dramatic consequences that resistance would have in other
areas, such as the impact on economic growth, the long-term effects on children linked to
education disruptions
and the effect on the population's overall well-being.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Finally, it is likely that population
groups most at risk of malaria, such as poor, mobile and rural populations, and the most
vulnerable women and children would be disproportionally affected, further widening the
inequality gap.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The Strategy to respond to antimalarial drug resistance in Africa needs to build on
lessons learned from past global plans and complement existing strategies.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"These include
the Global plan for artemisinin resistance containment and the Strategy for malaria
elimination
in the Greater Mekong Subregion (year two thousand and fifteen to  year two thousand and thirty) which highlight the need for adequate
surveillance, strong regional collaboration, involvement of a large panel of stakeholders
including National Malaria Programme and communities, and sustained financing.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The Strategy also takes place
within the context of a broader effort to respond to antimicrobial resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Strategic
objectives outlined by the Global action plan on antimicrobial resistance were leveraged in
the development of the Strategy, including the need to tackle structural issues such as
inequity, fractured health systems and entrenched poverty, and need to improve awareness
and understanding of antimicrobial resistance through effective communication, education
and training.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Finally, the Strategy uses key elements of the High burden to high impact
approach, a country-led response, catalysed by World Health Organization and the RBM Partnership to End Malaria, in which eleven African countries actively participate, in addition to India.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In the Greater Mekong sub-region, the initial response to resistance developed into escalated efforts to achieve
malaria elimination, a goal likely to be reached within the next few years.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The scale of the
challenge and the multitude of different settings in Africa vastly exceed those of the Greater Mekong sub-region.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In some countries, elimination may be a feasible short-term goal, either nationwide or at
the subnational level.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"However, in many countries, the near-term goal needs to be the
optimization and expansion of activities based on the interventions outlined in this Strategy.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
This Strategy should not divert resources away from efforts on other malaria goals.,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"This
Strategy further builds on the priorities highlighted in the Global technical strategy for malaria: the need to protect the
efficacy of Artemisinin-based Combination Therapies and develop new non-artemisinin-based combinations.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"It will also
contribute to broader malaria control objectives by ensuring access to malaria prevention,
diagnosis and treatment as part of universal health coverage.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Drivers of resistance
Overview of drivers of resistance
Effectively responding to the threat of antimalarial drug resistance requires an
understanding of the factors that play a role in driving the emergence and spread of
resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The emergence of drug-resistant parasites happens in two stages: first, the
initial random genetic event that makes a parasite less sensitive to a drug, and second, the
survival, selection and subsequent spread of parasites carrying one or more mutations that
provide some degree of protection from the effect of a drug.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The role the different factors play in driving the emergence, selection and spread of
resistance will vary by drug and context.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"There is good consensus on the factors that may
drive the emergence and spread of resistance, but knowledge of their relative importance is
limited by the lack of available data and evidence.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"A broad literature review and consultation process led to the identification of two
categories of factors driving resistance: background drivers and treatment-related drivers
Background drivers include intrinsic factors linked to the parasite, host and drugs used, as
well as environmental factors.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Background drivers of resistance
Parasite genetic background can influence the degree to which a mutation affects drug
sensitivity and the likelihood that the mutation will spread.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Certain genetic backgrounds or
additional mutations can improve resistant parasites' ability to compete with other parasites,
even in the absence of drug pressure.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Consequently, the effect and potential for spread of a
mutation can differ between P. falciparum parasite strains from Africa and those from other
malaria-endemic regions.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
The level of transmission could impact the risk of spread.,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Higher malaria transmission
results in many strains circulating in a population and a higher chance of mixing genetic
material during a parasite's sexual reproduction.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Therefore, higher malaria transmission
increases the risk that some potential background resistance mutations will be lost and
increases the competition with other parasite strains.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Additionally, populations living in
higher transmission areas have some level of acquired immunity, meaning that the host is
better able to eliminate parasites regardless of the level of drug resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
A range of additional setting-specific factors affect the emergence and spread of resistance.,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"These factors include human migration from areas with resistance, the ability of local
mosquitoes to spread the resistant strain, and climate change, which alters temperature, humidity
and rainfall, potentially shifting the geography and seasonality of transmission.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Malaria parasites are
exposed to different antimalarial drugs that are intended to cure patients by eliminating
the parasites.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"However, continuous or repeated exposure to a drug can select parasites
with reduced susceptibility to the drug in subsequent administrations.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Drug pressure
depends on the proportion of overall malaria infections that are treated and the rate at
which people use antimalarial drugs.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The exposure of a parasite population to drugs
depends on a range of issues, including access to quality diagnosis and treatment, and
other use of antimalarial drugs such as for chemoprevention.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Chemoprevention strategies
can impact resistance and select parasites that are less sensitive to the drug used for
chemoprevention.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"This impact will
depend on the drugs used, the prevalence of resistance, the epidemiology and health system of
the target area, the population covered, and the quality of the chemoprevention
intervention.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Chemo-prevention with a drug not used for treatment could potentially decrease the risk of
losing treatment drugs to resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"However, the key challenge in the use of
chemoprevention as part of a resistance strategy is the few drugs available.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Pressure on a parasite population from a drug increases the risk of selection and spread
of parasites resistant to that drug.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"When a parasite population is mainly exposed to one
drug, the competitive advantage of having resistance to that drug and thus the risk of
selection increases.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"In the past, uncomplicated P. falciparum was treated with chloroquine
and sulfadoxine-pyrimethamine.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Resistance to these drugs spread globally, reaching very
high levels of prevalence.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Although the current recommendation is treatment with an Artemisinin-based Combination Therapy
combining an artemisinin component and a partner drug, this recommendation is sometimes
not followed, meaning that some patients are still treated with monotherapies.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Furthermore,
while the Artemisinin-based Combination Therapy
is a combination of two drugs, the partner drug is alone in the blood for an extended period
of time after the short-acting artemisinin component has been cleared.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Exposing parasites to subtherapeutic drug levels is thought to be an important selective force
in the spread of resistance.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
